OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
50000,2019728879,2019728879521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,11/15/2019 7:00:00 PM,,11/15/2019 7:00:00 PM,1814 E 28TH AVE,0,0,-104.96546895,39.75684218,2,211,whittier,1,0,1,3150284.99996915,1701001.9998746
50001,202058902,202058902521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,1/27/2020 3:32:00 AM,,1/27/2020 5:49:00 AM,1500 BLK N HUMBOLDT ST,0,0,-104.96953026,39.74140473,6,622,city-park-west,1,0,1,3149176.00005057,1695372.00020399
50002,2022331220,2022331220521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,6/30/2022 1:45:00 PM,,6/30/2022 1:45:00 PM,5160 N YORK ST,0,0,-104.95815668,39.78990808,2,212,elyria-swansea,1,0,1,3152269.00006208,1713059.00028737
50003,202285233,202285233521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,2/18/2022 11:54:00 PM,,2/19/2022 1:48:00 AM,3400 BLK PARK AVEW,0,0,-104.99372989,39.76543072,1,112,globeville,1,0,1,3142322.00003699,1704084.99996955
50004,20203902,20203902521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,1/2/2020 4:35:00 PM,,1/2/2020 6:00:00 PM,1400 BLOCK N WASHINGTON ST,0,0,-104.97864641,39.73921906,6,623,capitol-hill,1,0,1,3146616.99976625,1694561.0001563
50005,202137493,202137493521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,1/19/2021 2:59:00 PM,,1/19/2021 5:27:00 PM,2900 BLK N ZUNI ST,0,0,-105.01543728,39.7591037,1,113,highland,1,0,1,3136232.00008982,1701747.00036427
50006,2019277819,2019277819521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,5/3/2019 10:30:00 PM,,5/3/2019 11:56:00 PM,E COLFAX AVE / N YOSEMITE ST,0,0,-104.88465118,39.74015692,U,999,east-colfax,1,0,1,3173047.99989694,1695067.9999657
50007,2020185161,2020185161521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,3/26/2020 2:31:00 PM,,3/26/2020 5:48:00 PM,LEETSDALE DR / S BIRCH ST,0,0,-104.93513065,39.7103052,U,999,,1,0,1,3158919.99995816,1684101.99985234
50008,2020348546,2020348546521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,6/6/2020 3:00:00 PM,,6/6/2020 3:22:00 PM,15TH ST / COURT PL,0,0,-104.98990514,39.74157168,6,611,cbd,1,0,1,3143446.00009796,1695400.00024528
50009,2021540340,2021540340521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/19/2021 1:46:00 PM,,9/19/2021 7:01:00 PM,1001 N BROADWAY ST,0,0,-104.98802034,39.73232841,6,611,civic-center,1,0,1,3143995.00023817,1692035.99996341
50010,2020490708,2020490708521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/13/2020 4:24:00 PM,,8/14/2020 12:31:00 AM,2800 BLK S IVAN WAY,0,0,-105.06253055,39.66167956,4,423,bear-valley,1,0,1,3123163.00041852,1666191.99981337
50011,202181834,202181834521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,2/9/2021 8:28:00 PM,,2/9/2021 10:10:00 PM,S COLORADO BLVD / E EVANS AVE,0,0,-104.94074853,39.67841495,3,314,university-park,1,0,1,3157411.00012219,1672476.0001903
50012,2019522480,2019522480521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/17/2019 7:34:00 PM,,8/17/2019 8:41:00 PM,2777 N ZUNI ST,0,0,-105.01628446,39.75694943,1,113,highland,1,0,1,3135998.00011687,1700960.99938327
50013,2019797557,2019797557521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,12/19/2019 9:10:00 AM,,12/19/2019 11:44:00 AM,3700 BLOCK N QUIVAS ST,0,0,-105.00794328,39.76866997,1,113,highland,1,0,1,3138320.00001505,1705242.99969464
50014,2019605143,2019605143521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/21/2019 2:35:00 PM,,9/21/2019 5:55:00 PM,951 16TH ST,0,0,-104.99389536,39.74694492,6,611,cbd,1,0,1,3142312.99984202,1697350.99993193
50015,2019751461,2019751461521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,11/26/2019 11:24:00 PM,,11/27/2019 12:50:00 AM,E RICHTHOFEN PL / N XENIA ST,0,0,-104.88586971,39.73420052,2,223,east-colfax,1,0,1,3172720.00033648,1692896.00003183
50016,2021206997,2021206997521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,4/12/2021 7:13:00 AM,,4/12/2021 9:13:00 AM,5330 E 46TH AVE,0,0,-104.92529696,39.77998476,2,221,northeast-park-hill,1,0,1,3161525.99994038,1709500.99975514
50017,2020460185,2020460185521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,7/30/2020 2:45:00 PM,,7/30/2020 4:33:00 PM,100 BLOCK N DETROIT ST,0,0,-104.95445467,39.7182864,3,311,cherry-creek,1,0,1,3153465.99999656,1686976.00007517
50018,2020522446,2020522446521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/29/2020 1:13:00 AM,,8/29/2020 3:55:00 AM,500 BLK N ALTON WAY,0,0,-104.87812532,39.72378261,3,321,lowry-field,1,0,1,3174924.00026275,1689116.0001247
50019,2022373826,2022373826521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,7/23/2022 12:53:00 AM,,7/23/2022 1:52:00 AM,N BROADWAY ST / LAWRENCE ST,0,0,-104.98739502,39.75561924,6,621,five-points,1,0,1,3144123.00049485,1700520.99972258
50020,2021725813,2021725813521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,12/29/2021 12:57:00 PM,,12/29/2021 3:07:00 PM,E 17TH AVE / PARK AVE,0,0,-104.97268845,39.74323904,6,622,city-park-west,1,0,1,3148283.99978927,1696034.99989591
50021,2021548519,2021548519521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/23/2021 4:30:00 PM,,9/23/2021 8:27:00 PM,8500 E COLFAX AVE,0,0,-104.88875035,39.7398516,2,223,east-colfax,1,0,1,3171895.99962692,1694949.00012059
50022,202253273,202253273521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,2/1/2022 1:35:00 PM,,2/1/2022 2:45:00 PM,1800 BLOCK W OHIO AVE,0,0,-105.0089085,39.70248559,4,412,athmar-park,1,0,1,3138178.99977916,1681133.00000489
50023,2021506947,2021506947521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/3/2021 1:31:00 AM,,9/3/2021 2:48:00 AM,2200 BLOCK N LAFAYETTE ST,0,0,-104.97079823,39.75009096,6,622,city-park-west,1,0,1,3148800.99996226,1698533.99990743
50024,2021244696,2021244696521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,5/1/2021 4:15:00 AM,,5/1/2021 5:57:00 AM,3299 W ALAMEDA AVE,0,0,-105.02962798,39.71159955,4,411,barnum,1,0,1,3132332.00025972,1684421.99991508
50025,2021457139,2021457139521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/10/2021 4:20:00 PM,,8/10/2021 5:26:00 PM,E HAMPDEN AVE / S GALENA ST,0,0,-104.8684089,39.65351052,3,323,hampden,1,0,1,3177835.00005469,1663538.00009381
50026,2019487662,2019487662521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/3/2019 2:00:00 AM,,8/3/2019 3:42:00 AM,1000 BLOCK 21ST ST,0,0,-104.98905762,39.75198352,6,611,five-points,1,0,1,3143663.00016038,1699194.00061188
50027,2022460097,2022460097521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/6/2022 3:09:00 PM,,9/6/2022 9:24:00 PM,18300 BLOCK E 64TH AVE,0,0,-104.77704858,39.81271755,5,522,dia,1,0,1,3203096.99980226,1721721.99996432
50028,2021289162,2021289162521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,5/22/2021 4:53:00 PM,,5/22/2021 7:02:00 PM,LARIMER ST / N DOWNING ST,0,0,-104.9733388,39.76791904,2,211,five-points,1,0,1,3148048.99999034,1705023.99986523
50029,2021129760,2021129760521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,3/4/2021 11:44:00 PM,,3/5/2021 1:39:00 AM,1155 N DECATUR ST,0,0,-105.02258961,39.7351696,1,122,sun-valley,1,0,1,3134266.99994867,1693017.99997364
50030,2019801605,2019801605521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,12/21/2019 1:51:00 AM,,12/21/2019 2:38:00 AM,4060 N ALBION ST,0,0,-104.93554332,39.77388499,2,221,northeast-park-hill,1,0,1,3158659.99968983,1707261.00019326
50031,2019411349,2019411349521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,7/1/2019 11:21:00 PM,,7/1/2019 11:21:00 PM,W COLFAX AVE / I25 HWYSB,0,0,-105.01416163,39.74043896,1,123,lincoln-park,1,0,1,3136627.00011115,1694950.0001285
50032,2020304889,2020304889521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,5/18/2020 12:54:00 AM,,5/18/2020 12:54:00 AM,E NORTHFIELD BLVD / N WILLOW ST,0,0,-104.88800037,39.78545475,5,511,central-park,1,0,1,3171994.99983556,1711562.00016309
50033,2021363655,2021363655521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,6/26/2021 7:31:00 PM,,6/26/2021 8:53:00 PM,4690 N PEORIA ST,0,0,-104.84692779,39.78192334,5,521,montbello,1,0,1,3183547.00008306,1710356.00017795
50034,2020647866,2020647866521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,11/1/2020 6:15:00 AM,11/1/2020 6:17:00 AM,11/1/2020 7:37:00 AM,3737 S MONACO ST,0,0,-104.91610117,39.64823073,3,324,southmoor-park,1,0,1,3164419.00018133,1661524.99986681
50035,2022357084,2022357084521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,7/14/2022 4:06:00 AM,,7/14/2022 8:05:00 AM,4800 BLK N BEACH CT,0,0,-105.01850125,39.78478966,1,111,chaffee-park,1,0,1,3135321.00008741,1711098.99997166
50036,2022158026,2022158026521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,3/31/2022 2:35:00 PM,,3/31/2022 4:18:00 PM,5959 N DUNKIRK ST,0,0,-104.76297215,39.80404594,5,522,dia,1,0,1,3207076.99976667,1718594.99993169
50037,2021560705,2021560705521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,9/29/2021 7:25:00 PM,,9/29/2021 9:19:00 PM,12200 BLOCK E ALBROOK DR,0,0,-104.84426889,39.78164777,5,521,montbello,1,0,1,3184294.99991184,1710261.00006351
50038,202093729,202093729521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,2/12/2020 3:16:00 PM,,2/12/2020 4:06:00 PM,S BROADWAY ST / W KENTUCKY AVE,0,0,-104.98747635,39.70021162,3,313,baker,1,0,1,3144214.00025631,1680338.00046831
50039,2019652911,2019652911521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,10/12/2019 2:00:00 AM,,10/12/2019 2:00:00 AM,2000 BLOCK MARKET ST,0,0,-104.9927663,39.754064,6,612,five-points,1,0,1,3142616.00032693,1699946.00009133
50040,202064222,202064222521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,1/29/2020 11:18:00 AM,,1/29/2020 1:21:00 PM,1600 BLK N GILPIN ST,0,0,-104.96687085,39.74274064,6,622,city-park-west,1,0,1,3149921.0001137,1695863.00039008
50041,2021230361,2021230361521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,4/24/2021 12:51:00 PM,,4/24/2021 2:31:00 PM,W JEWELL AVE / S GROVE ST,0,0,-105.0262147,39.68226052,4,421,harvey-park,1,0,1,3133348.00003776,1673740.00040712
50042,2019491484,2019491484521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,8/4/2019 9:37:00 PM,,8/5/2019 1:45:00 AM,1300 BLOCK N DECATUR ST,0,0,-105.02168958,39.73731824,1,122,sun-valley,1,0,1,3134515.99974264,1693802.00002225
50043,2021568751,2021568751521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,10/4/2021 12:42:00 AM,,10/4/2021 2:08:00 AM,E 14TH AVE / N WABASH ST,0,0,-104.88938266,39.73870186,2,223,east-colfax,1,0,1,3171720.99982169,1694528.99990382
50044,2022251778,2022251778521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,5/19/2022 3:23:00 PM,,5/19/2022 3:23:00 PM,E COLFAX AVE / N BROADWAY ST,0,0,-104.9873914,39.7400591,6,621,civic-center,1,0,1,3144156.00031219,1694853.00026263
50045,2020728799,2020728799521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,12/16/2020 5:10:00 AM,,12/16/2020 8:33:00 AM,N BRIGHTON BLVD @ E/B I-70,0,0,-104.9671683,39.77988246,2,212,elyria-swansea,1,0,1,3149758.00032771,1709391.99995897
50046,2019363628,2019363628521201,5212,1,weapon-by-prev-offender-powpo,all-other-crimes,6/11/2019 4:01:00 AM,,6/11/2019 6:35:00 AM,W 14TH AVE / N KNOX CT,0,0,-105.03226756,39.73847259,1,122,west-colfax,1,0,1,3131538.99981474,1694206.9999556
