OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
190277,2021356044,2021356044239900,2399,0,theft-other,larceny,6/23/2021 4:23:00 AM,,6/23/2021 9:44:00 AM,1843 S ST PAUL ST,0,0,-104.95106589,39.68297415,3,314,university-park,1,0,1,3154497.00010972,1674118.99969852
190278,20196006104,20196006104239900,2399,0,theft-other,larceny,7/1/2019 5:45:00 AM,7/1/2019 8:45:00 AM,7/1/2019 8:51:00 AM,891 14TH ST,0,0,-104.99592864,39.74460096,6,611,cbd,1,0,1,3141746.00004523,1696494.00000426
190279,2021629501,2021629501239900,2399,0,theft-other,larceny,11/4/2021 5:00:00 PM,11/5/2021 8:30:00 AM,11/5/2021 9:11:00 AM,7150 LEETSDALE DR,0,0,-104.90540919,39.69801617,3,322,washington-virginia-vale,1,0,1,3167311.00003443,1679678.99974842
190280,20226015164,20226015164239900,2399,0,theft-other,larceny,8/8/2022 7:00:00 AM,8/8/2022 7:10:00 AM,8/9/2022 9:14:00 AM,3023 N QUEBEC ST,0,0,-104.90355387,39.75950685,2,221,north-park-hill,1,0,1,3167686.00004124,1702081.00009872
190281,20226018812,20226018812239900,2399,0,theft-other,larceny,10/4/2022 10:58:00 AM,10/4/2022 10:59:00 AM,10/4/2022 6:03:00 PM,1956 N VERBENA ST,0,0,-104.89019885,39.74666467,2,223,east-colfax,1,0,1,3171471.99999121,1697428.00024766
190282,2020304372,2020304372239900,2399,0,theft-other,larceny,5/15/2020 7:30:00 PM,5/15/2020 9:00:00 PM,5/17/2020 8:49:00 PM,1090 N OSAGE ST,0,0,-105.00510044,39.73346116,1,123,lincoln-park,1,0,1,3139188.99982061,1692422.0000267
190283,2021221281,2021221281239900,2399,0,theft-other,larceny,4/10/2021 8:00:00 AM,,4/19/2021 7:29:00 PM,3550 W GIRARD DR,0,0,-105.03432315,39.65541613,4,423,harvey-park-south,1,0,1,3131116.00000585,1663950.0001411
190284,20216002419,20216002419239900,2399,0,theft-other,larceny,1/23/2021 10:44:00 PM,1/23/2021 10:45:00 PM,1/24/2021 6:21:00 PM,2834 N ELMIRA ST,0,0,-104.87213884,39.75710058,5,512,central-park,1,0,1,3176523.99999598,1701263.99970904
190285,20226011512,20226011512239900,2399,0,theft-other,larceny,6/15/2022 6:00:00 PM,6/16/2022 7:00:00 AM,6/20/2022 6:16:00 PM,5250 E EVANS AVE,0,0,-104.92616796,39.67750186,3,323,goldsmith,1,0,1,3161516.9999298,1672169.00041042
190286,2021577349,2021577349239900,2399,0,theft-other,larceny,10/8/2021 9:15:00 AM,,10/8/2021 9:15:00 AM,900 E 11TH AVE,0,0,-104.97585298,39.73330431,6,623,capitol-hill,1,0,1,3147415.00051927,1692411.00004206
190287,20226008814,20226008814239900,2399,0,theft-other,larceny,5/12/2022 8:30:00 AM,5/12/2022 2:35:00 PM,5/12/2022 2:42:00 PM,4100 E ILIFF AVE,0,0,-104.93933482,39.67436982,3,314,university-hills,1,0,1,3157818.00020609,1671004.99982181
190288,20226019254,20226019254239900,2399,0,theft-other,larceny,10/5/2022 10:25:00 AM,10/9/2022 10:25:00 AM,10/12/2022 10:56:00 AM,1010 E 19TH AVE,0,0,-104.97429692,39.74593934,6,621,five-points,1,0,1,3147825.99997299,1697015.99977797
