OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
90277,2019353590,2019353590131302,1313,2,assault-dv,other-crimes-against-persons,6/6/2019 6:00:00 PM,,6/6/2019 7:37:00 PM,2180 CURTIS ST,0,0,-104.98774475,39.75253785,6,611,five-points,1,0,1,3144031.00021465,1699398.00021768
90278,2020476201,2020476201131302,1313,2,assault-dv,other-crimes-against-persons,8/6/2020 10:00:00 PM,8/7/2020 1:10:00 AM,8/7/2020 3:56:00 AM,6930 E GIRARD AVE,0,0,-104.90580731,39.65477351,3,323,hampden,1,0,1,3167302.00037619,1663927.00013023
90279,20205003533,20205003533131302,1313,2,assault-dv,other-crimes-against-persons,9/19/2020 3:00:00 PM,9/19/2020 11:59:00 PM,9/22/2020 9:46:00 AM,990 N NAVAJO ST,0,0,-105.00393117,39.73187771,1,123,lincoln-park,1,0,1,3139521.00013648,1691846.99974772
90280,2019135794,2019135794131302,1313,2,assault-dv,other-crimes-against-persons,3/1/2019 10:37:00 PM,,3/2/2019 1:08:00 AM,997 N STUART ST,0,0,-105.04291853,39.73284548,1,122,villa-park,1,0,1,3128554.00000264,1692141.99974048
90281,202157933,202157933131302,1313,2,assault-dv,other-crimes-against-persons,1/29/2021 1:30:00 PM,1/29/2021 2:00:00 PM,1/29/2021 2:34:00 PM,W 5TH AVE / N KNOX CT,0,0,-105.03248147,39.72451924,4,411,barnum,1,0,1,3131504.99987252,1689123.99973245
90282,2020143855,2020143855131302,1313,2,assault-dv,other-crimes-against-persons,3/6/2020 3:00:00 AM,,3/6/2020 3:03:00 AM,1332 TREMONT PL,0,0,-104.99238249,39.74075607,6,611,cbd,1,0,1,3142750.99989259,1695098.99993797
90283,2019805219,2019805219131302,1313,2,assault-dv,other-crimes-against-persons,12/22/2019 8:00:00 PM,,12/22/2019 8:02:00 PM,15TH ST / CHAMPA ST,0,0,-104.99515337,39.74559142,6,611,cbd,1,0,1,3141961.99993871,1696856.00034129
90284,2022311348,2022311348131302,1313,2,assault-dv,other-crimes-against-persons,6/19/2022 10:34:00 PM,,6/19/2022 10:34:00 PM,1450 S IRVING ST,0,0,-105.02908072,39.69039541,4,421,mar-lee,1,0,1,3132526.00032792,1676698.9998735
90285,2019320076,2019320076131302,1313,2,assault-dv,other-crimes-against-persons,5/22/2019 8:25:00 PM,,5/22/2019 8:45:00 PM,S LINCOLN ST / E ALAMEDA AVE,0,0,-104.98636914,39.7111578,3,311,washington-park-west,1,0,1,3144502.9998693,1684326.99995667
90286,2020390180,2020390180131302,1313,2,assault-dv,other-crimes-against-persons,6/26/2020 9:17:00 PM,,6/26/2020 10:13:00 PM,1201 LARIMER ST,0,0,-105.00228252,39.74625045,1,123,auraria,1,0,1,3139955.99981312,1697084.99970366
90287,2019447247,2019447247131302,1313,2,assault-dv,other-crimes-against-persons,7/17/2019 1:46:00 AM,,7/17/2019 1:46:00 AM,1700 BLK BLAKE ST,0,0,-104.99721771,39.75229594,6,612,union-station,1,0,1,3141367.99999872,1699295.0001941
90288,2019649545,2019649545131302,1313,2,assault-dv,other-crimes-against-persons,10/10/2019 4:00:00 PM,,10/10/2019 6:06:00 PM,2880 S LOCUST ST,0,0,-104.9148008,39.66492155,3,323,hampden,1,0,1,3164746.00022541,1667606.9999742
90289,2020169121,2020169121131302,1313,2,assault-dv,other-crimes-against-persons,3/18/2020 7:57:00 AM,3/18/2020 7:57:00 AM,3/18/2020 10:20:00 AM,18650 E 41ST AVE,0,0,-104.76994499,39.7722553,5,523,gateway-green-valley-ranch,1,0,1,3205211.00023354,1706998.99995236
90290,2021372363,2021372363131302,1313,2,assault-dv,other-crimes-against-persons,6/30/2021 10:40:00 PM,,6/30/2021 10:40:00 PM,7355 E QUINCY AVE,0,0,-104.90337118,39.63926902,3,324,hampden-south,1,0,1,3168025.00013376,1658283.99987888
90291,2020133709,2020133709131302,1313,2,assault-dv,other-crimes-against-persons,3/1/2020 5:20:00 PM,,3/1/2020 9:13:00 PM,550 N ALTON WAY,0,0,-104.87812532,39.72378261,3,321,lowry-field,1,0,1,3174924.00026275,1689116.0001247
90292,2022329032,2022329032131302,1313,2,assault-dv,other-crimes-against-persons,6/28/2022 6:00:00 PM,6/29/2022 9:00:00 AM,6/29/2022 1:21:00 PM,888 S KNOX CT,0,0,-105.03219984,39.7006451,4,412,westwood,1,0,1,3131628.999931,1680427.99996319
90293,2021579107,2021579107131302,1313,2,assault-dv,other-crimes-against-persons,10/9/2021 4:10:00 AM,,10/9/2021 5:10:00 AM,18TH ST / BLAKE ST,0,0,-104.99675093,39.75241748,6,612,union-station,1,0,1,3141499.0000024,1699340.00005518
