OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
1,2020454617,2020454617299900,2999,0,criminal-mischief-other,public-disorder,7/26/2020 4:00:00 PM,,7/27/2020 10:09:00 PM,15987 E RANDOLPH PL,0,0,-104.80111124,39.7978271,5,522,gateway-green-valley-ranch,1,0,1,3196378.99986042,1716244.99992036
2,20206013877,20206013877299900,2999,0,criminal-mischief-other,public-disorder,10/10/2020 4:55:00 AM,10/10/2020 4:59:00 AM,10/14/2020 3:20:00 PM,6980 E GIRARD AVE,0,0,-104.90580731,39.65477351,3,323,hampden,1,0,1,3167302.00037619,1663927.00013023
3,202210816,202210816299900,2999,0,criminal-mischief-other,public-disorder,1/8/2022 12:01:00 AM,,1/8/2022 12:01:00 AM,3145 W ARKANSAS AVE,0,0,-105.02761446,39.69178415,4,421,mar-lee,1,0,1,3132935.99996522,1677206.99998163
4,2021159354,2021159354299900,2999,0,criminal-mischief-other,public-disorder,3/20/2021 12:38:00 AM,,3/20/2021 12:38:00 AM,2300 BLOCK N FEDERAL BLVD,0,0,-105.02501891,39.75133528,1,121,jefferson-park,1,0,1,3133552.99970441,1698903.00015162
5,2020470873,2020470873299900,2999,0,criminal-mischief-other,public-disorder,8/4/2020 11:45:00 AM,,8/4/2020 4:28:00 PM,900 BLK 10TH ST,0,0,-105.00196517,39.74086016,1,123,auraria,1,0,1,3140056.00010125,1695122.00018774
6,2022114995,2022114995299900,2999,0,criminal-mischief-other,public-disorder,3/7/2022 8:30:00 PM,3/7/2022 8:55:00 PM,3/7/2022 11:03:00 PM,7400 E HAMPDEN AVE,0,0,-104.90178692,39.65226032,3,324,hampden-south,1,0,1,3168439.99961706,1663019.00000176
7,2020679699,2020679699299900,2999,0,criminal-mischief-other,public-disorder,11/17/2020 6:00:00 PM,11/18/2020 8:00:00 AM,11/18/2020 10:46:00 AM,677 S FEDERAL BLVD,0,0,-105.02548663,39.70429142,4,412,westwood,1,0,1,3133510.99997416,1681765.99988654
8,2021312037,2021312037299900,2999,0,criminal-mischief-other,public-disorder,5/25/2021 10:30:00 AM,5/29/2021 3:30:00 AM,6/2/2021 7:19:00 PM,1029 E 8TH AVE,0,0,-104.97431186,39.72923992,6,623,capitol-hill,1,0,1,3147856.99945307,1690933.00064945
9,2021187502,2021187502299900,2999,0,criminal-mischief-other,public-disorder,4/2/2021 12:00:00 PM,,4/2/2021 8:55:00 PM,3155 W TANFORAN DR,0,0,-105.02816345,39.63020843,4,423,fort-logan,1,0,1,3132897.99999274,1654777.00015192
10,20206007855,20206007855299900,2999,0,criminal-mischief-other,public-disorder,6/26/2020 8:30:00 AM,6/26/2020 9:30:00 AM,6/26/2020 11:23:00 AM,1528 BLAKE ST,0,0,-104.99991312,39.74986963,6,612,union-station,1,0,1,3140615.00009964,1698407.00006718
11,2022173883,2022173883299900,2999,0,criminal-mischief-other,public-disorder,4/8/2022 6:19:00 PM,,4/8/2022 7:47:00 PM,250 W 14TH AVE,0,0,-104.99127691,39.73825859,6,611,civic-center,1,0,1,3143066.9999881,1694190.99991084
12,2020636917,2020636917299900,2999,0,criminal-mischief-other,public-disorder,10/26/2020 12:45:00 PM,,10/26/2020 5:32:00 PM,490 W COLFAX AVE,0,0,-104.99357374,39.73977291,6,611,civic-center,1,0,1,3142418.00009925,1694738.99993937
13,2020448445,2020448445299900,2999,0,criminal-mischief-other,public-disorder,7/24/2020 2:53:00 PM,,7/24/2020 3:42:00 PM,1801 WYNKOOP ST,0,0,-104.99820017,39.7541669,6,612,union-station,1,0,1,3141088.00000797,1699975.00009979
14,2020505193,2020505193299900,2999,0,criminal-mischief-other,public-disorder,8/20/2020 5:30:00 PM,,8/20/2020 5:30:00 PM,5550 W DARTMOUTH AVE,0,0,-105.05534317,39.65522026,4,423,bear-valley,1,0,1,3125197.9999057,1663849.00044679
15,2020404344,2020404344299900,2999,0,criminal-mischief-other,public-disorder,7/1/2020 12:29:00 PM,7/1/2020 12:29:00 PM,7/3/2020 1:55:00 PM,19560 E 39TH AVE,0,0,-104.75854242,39.76958974,5,523,gateway-green-valley-ranch,1,0,1,3208423.99999034,1706053.99974114
16,202214976,202214976299900,2999,0,criminal-mischief-other,public-disorder,1/10/2022 3:56:00 PM,,1/10/2022 5:47:00 PM,1695 PLATTE ST,0,0,-105.00720154,39.7582981,1,113,highland,1,0,1,3138548.99992073,1701465.99938989
17,20216005069,20216005069299900,2999,0,criminal-mischief-other,public-disorder,2/26/2021 4:30:00 PM,2/26/2021 4:40:00 PM,3/1/2021 12:47:00 PM,3825 N LAFAYETTE ST,0,0,-104.96998646,39.76997116,2,211,cole,1,0,1,3148987.00013018,1705776.99996239
18,2021664318,2021664318299900,2999,0,criminal-mischief-other,public-disorder,11/23/2021 7:59:00 PM,,11/23/2021 8:34:00 PM,400 W EVANS AVE,0,0,-104.99251788,39.67732381,3,313,overland,1,0,1,3142842.00002768,1671992.99999166
19,2021646165,2021646165299900,2999,0,criminal-mischief-other,public-disorder,11/14/2021 7:06:00 AM,,11/14/2021 8:23:00 AM,2900 S WADSWORTH BLVD,0,0,-105.08078097,39.66400273,4,423,bear-valley,1,0,1,3118021.00001996,1667013.99999441
