OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
300339,2023358766,2023358766239900,2399,0,theft-other,larceny,7/5/2023 2:00:00 PM,7/5/2023 2:22:00 PM,7/5/2023 7:30:00 PM,1955 ARAPAHOE ST,0,0,-104.99147576,39.75153828,6,611,cbd,1,0,1,3142984.0000852,1699027.99996151
300340,2023358129,2023358129239900,2399,0,theft-other,larceny,7/1/2023 11:08:00 AM,,7/5/2023 11:53:00 AM,808 S HIGH ST,0,0,-104.9648682,39.70180203,3,312,washington-park,1,0,1,3150571.99996354,1680953.99992939
300341,20236011220,20236011220239900,2399,0,theft-other,larceny,7/5/2023 4:26:00 PM,7/5/2023 4:27:00 PM,7/5/2023 6:42:00 PM,1357 S ST PAUL ST,0,0,-104.95153659,39.69185199,3,312,cory-merrill,1,0,1,3154345.00005945,1677352.00009671
300342,2023355831,2023355831239900,2399,0,theft-other,larceny,7/2/2023 5:41:00 PM,,7/4/2023 4:37:00 PM,1717 N HOOKER ST,0,0,-105.02857953,39.7443794,1,121,west-colfax,1,0,1,3132565.00002675,1696363.99985265
300343,2023358477,2023358477239900,2399,0,theft-other,larceny,3/7/2023 4:00:00 PM,3/7/2023 6:00:00 PM,7/5/2023 2:15:00 PM,7800 E SMITH RD,0,0,-104.89794602,39.76968792,5,512,central-park,1,0,1,3169238.00005885,1705799.99999189
300344,20236011219,20236011219239900,2399,0,theft-other,larceny,6/30/2023 6:30:00 PM,7/3/2023 7:15:00 AM,7/5/2023 7:04:00 PM,8500 PENA BLVD,0,0,-104.67404481,39.85192595,7,759,dia,1,0,1,3231903.00009237,1736250.99988657
300345,2023355346,2023355346239900,2399,0,theft-other,larceny,6/26/2023 8:00:00 AM,6/28/2023 8:00:00 PM,7/4/2023 3:31:00 PM,1955 N ULSTER ST,0,0,-104.8951928,39.74656416,2,223,east-colfax,1,0,1,3170068.00000968,1697382.00009501
300346,20236011196,20236011196239900,2399,0,theft-other,larceny,10/1/2022 4:45:00 PM,10/1/2022 4:45:00 PM,7/5/2023 4:59:00 PM,7990 W CRESTLINE AVE,0,0,-105.08552744,39.6175216,4,423,marston,1,0,1,3116762.00000827,1650076.99987924
300347,20236011135,20236011135239901,2399,1,theft-bicycle,larceny,7/2/2023 1:00:00 PM,7/2/2023 4:00:00 PM,7/4/2023 1:31:00 PM,1400 BLK 21ST ST,0,0,-104.99274858,39.75503848,6,612,five-points,1,0,1,3142618.99989193,1700301.00011103
300348,20236011133,20236011133239901,2399,1,theft-bicycle,larceny,7/2/2023 1:00:00 PM,7/2/2023 4:10:00 PM,7/4/2023 1:45:00 PM,1400 BLK 21ST ST,0,0,-104.99274858,39.75503848,6,612,five-points,1,0,1,3142618.99989193,1700301.00011103
