OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
350412,2024147430,2024147430489900,4899,0,police-interference,all-other-crimes,3/18/2024 8:00:00 AM,,3/18/2024 8:01:00 AM,7190 E HAMPDEN AVE,0,0,-104.90507949,39.65264491,3,324,hampden-south,1,0,1,3167512.00020599,1663152.99995976
350413,2024146894,2024146894489900,4899,0,police-interference,all-other-crimes,3/17/2024 10:00:00 PM,,3/17/2024 11:05:00 PM,2200 BLK LAWRENCE ST,0,0,-104.98836562,39.75469832,6,611,five-points,1,0,1,3143852.0001204,1700184.00032404
350414,2024147987,2024147987501600,5016,0,violation-of-restraining-order,all-other-crimes,3/18/2024 12:38:00 PM,,3/18/2024 12:38:00 PM,250 S DECATUR ST,0,0,-105.02233379,39.71216863,4,411,valverde,1,0,1,3134382.99977157,1684639.99996571
350415,2024147954,2024147954501600,5016,0,violation-of-restraining-order,all-other-crimes,3/15/2024 9:45:00 AM,3/18/2024 12:00:00 PM,3/18/2024 12:13:00 PM,4525 E YALE AVE,0,0,-104.93602105,39.66763062,3,314,university-hills,1,0,1,3158765.99979529,1668555.99995719
350416,2024148866,2024148866501600,5016,0,violation-of-restraining-order,all-other-crimes,3/18/2024 4:12:00 PM,,3/18/2024 8:55:00 PM,1011 N INCA ST,0,0,-104.99796779,39.73247559,1,123,lincoln-park,1,0,1,3141196.99983541,1692074.00000311
350417,2024146906,2024146906501600,5016,0,violation-of-restraining-order,all-other-crimes,3/17/2024 10:07:00 PM,,3/17/2024 10:07:00 PM,4900 BLK S ULSTER ST,0,0,-104.89422441,39.6268817,3,324,hampden-south,1,0,1,3170630.99991407,1653789.00002623
350418,20245000964,20245000964501601,5016,1,violation-of-court-order,all-other-crimes,2/28/2024 12:00:00 AM,3/18/2024 7:50:00 AM,3/18/2024 7:50:00 AM,520 W COLFAX AVE,0,0,-104.99471546,39.73973664,6,611,civic-center,1,0,1,3142096.99999579,1694723.99990261
350419,2024147041,2024147041501601,5016,1,violation-of-court-order,all-other-crimes,3/17/2024 11:57:00 PM,,3/17/2024 11:57:00 PM,4751 N YORK ST,0,0,-104.95986722,39.78266306,2,212,elyria-swansea,1,0,1,3151803.99994677,1710416.99980929
350420,2024146983,2024146983501601,5016,1,violation-of-court-order,all-other-crimes,3/17/2024 10:30:00 PM,3/17/2024 10:35:00 PM,3/18/2024 12:33:00 AM,5255 N MEMPHIS ST,0,0,-104.79769349,39.78942003,5,522,gateway-green-valley-ranch,1,0,1,3197363.0000762,1713189.99994891
350421,2024147110,2024147110521200,5212,0,weapon-poss-illegal-dangerous,all-other-crimes,3/18/2024 1:14:00 AM,,3/18/2024 3:46:00 AM,4685 N NORTHFIELD QUEBEC ST,0,0,-104.90224095,39.78166535,5,511,central-park,1,0,1,3168002.00011427,1710154.99973239
350422,2024145663,2024145663521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/17/2024 4:08:00 AM,,3/17/2024 4:08:00 AM,500 BLK S FEDERAL BLVD,0,0,-105.02472041,39.70669595,4,412,athmar-park,1,0,1,3133722.00018871,1682643.00016128
350423,2024143755,2024143755521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/16/2024 2:50:00 AM,,3/16/2024 2:50:00 AM,500 BLK S WOLFF ST,0,0,-105.04843243,39.70646269,4,412,westwood,1,0,1,3127051.00017792,1682524.00001529
350424,2024147377,2024147377521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/15/2024 4:00:00 PM,3/18/2024 6:30:00 AM,3/18/2024 7:51:00 AM,10885 E 51ST AVE,0,0,-104.86174166,39.79075641,5,511,montbello,1,0,1,3179360.99992302,1713544.00004033
350425,2024143646,2024143646521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/16/2024 12:50:00 AM,,3/16/2024 12:50:00 AM,200 BLK S NEWTON ST,0,0,-105.03685746,39.71273733,4,411,barnum,1,0,1,3130296.00007519,1684825.9998827
350426,2024138736,2024138736521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/12/2024 11:14:00 PM,,3/12/2024 11:37:00 PM,1900 BLK N ULSTER ST,0,0,-104.89371874,39.747177,2,223,east-colfax,1,0,1,3170480.99993819,1697608.0001155
350427,2024147214,2024147214521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,3/18/2024 3:15:00 AM,,3/18/2024 3:49:00 AM,1600 BLK N TRENTON ST,0,0,-104.89671872,39.74364003,2,223,east-colfax,1,0,1,3169645.99998559,1696313.99996283
350428,2024148102,2024148102521500,5215,0,bomb-threat,all-other-crimes,3/18/2024 1:30:00 PM,,3/18/2024 2:27:00 PM,3999 N COLORADO BLVD,0,0,-104.94142083,39.77252119,2,212,clayton,1,0,1,3157011.00005648,1706754.00004396
350429,2024147208,2024147208529900,5299,0,weapon-other-viol,all-other-crimes,3/18/2024 2:40:00 AM,,3/18/2024 4:20:00 AM,W 43RD AVE / N JASON ST,0,0,-104.99939954,39.77548056,1,112,sunnyside,1,0,1,3140708.00020356,1707736.99992318
350430,2024148346,2024148346530900,5309,0,harassment,public-disorder,3/16/2024 11:30:00 AM,,3/18/2024 8:47:00 PM,5121 E YALE AVE,0,0,-104.92874958,39.66761747,3,314,university-hills,1,0,1,3160813.00017305,1668564.00020334
350431,2024121635,2024121635530900,5309,0,harassment,public-disorder,3/3/2024 5:03:00 PM,3/3/2024 6:31:00 PM,3/3/2024 8:05:00 PM,3509 N JOSEPHINE ST,0,0,-104.9589282,39.7660281,2,212,clayton,1,0,1,3152103.99993966,1704358.99999269
350433,2024147025,2024147025531200,5312,0,disturbing-the-peace,public-disorder,3/17/2024 11:40:00 PM,,3/18/2024 12:39:00 AM,2034 LARIMER ST,0,0,-104.99185384,39.75335178,6,612,five-points,1,0,1,3142873.99998825,1699688.00012771
350434,2024147025,2024147025570700,5707,0,criminal-trespassing,all-other-crimes,3/17/2024 11:40:00 PM,,3/18/2024 12:39:00 AM,2034 LARIMER ST,0,0,-104.99185384,39.75335178,6,612,five-points,1,0,1,3142873.99998825,1699688.00012771
350435,2024146856,2024146856570700,5707,0,criminal-trespassing,all-other-crimes,3/17/2024 9:43:00 PM,,3/17/2024 10:03:00 PM,2030 LARIMER ST,0,0,-104.99179827,39.75316761,6,612,five-points,1,0,1,3142890.0001434,1699621.00009026
350436,2024147663,2024147663570700,5707,0,criminal-trespassing,all-other-crimes,3/18/2024 9:51:00 AM,,3/18/2024 11:22:00 AM,4040 N QUEBEC ST,0,0,-104.90177867,39.77371278,5,512,central-park,1,0,1,3168150.99975615,1707258.99998193
350437,2024147848,2024147848570700,5707,0,criminal-trespassing,all-other-crimes,3/18/2024 11:20:00 AM,,3/18/2024 11:27:00 AM,4751 N YORK ST,0,0,-104.95986722,39.78266306,2,212,elyria-swansea,1,0,1,3151803.99994677,1710416.99980929
350438,2024148898,2024148898570700,5707,0,criminal-trespassing,all-other-crimes,3/18/2024 9:25:00 PM,,3/18/2024 9:58:00 PM,1650 WEWATTA ST,0,0,-105.00176377,39.75369339,6,612,union-station,1,0,1,3140087.00002849,1699797.00017214
350439,2024148858,2024148858739902,7399,2,public-order-crimes-other,all-other-crimes,3/18/2024 8:48:00 PM,,3/18/2024 9:15:00 PM,2400 BLK WELTON ST,0,0,-104.98079261,39.75288074,6,621,five-points,1,0,1,3145985.00006052,1699533.99995031
350440,2024147200,2024147200109900,1099,0,false-imprisonment,all-other-crimes,3/18/2024 4:15:00 AM,,3/18/2024 5:28:00 AM,131 N LOGAN ST,0,0,-104.98294208,39.71894491,3,311,speer,1,0,1,3145451.00001371,1687168.99979388
350441,2024148431,2024148431120200,1202,0,robbery-business,robbery,3/18/2024 4:14:00 PM,,3/18/2024 5:14:00 PM,5151 W COLFAX AVE,0,0,-105.05264221,39.74078371,1,121,west-colfax,1,0,1,3125805.00010532,1695020.00025208
350442,2024148281,2024148281120200,1202,0,robbery-business,robbery,3/18/2024 2:50:00 PM,,3/18/2024 5:48:00 PM,7311 E 29TH DR,0,0,-104.90252438,39.75968556,5,512,central-park,1,0,1,3167975.00024869,1702147.99994506
350443,2024146357,2024146357120500,1205,0,robbery-street,robbery,3/17/2024 1:00:00 AM,,3/17/2024 10:31:00 PM,12020 E 39TH AVE,0,0,-104.84845936,39.77180183,5,512,central-park,1,0,1,3183143.00011445,1706665.99983281
350444,2024147686,2024147686131300,1313,0,assault-simple,other-crimes-against-persons,3/12/2024 10:05:00 AM,,3/18/2024 10:07:00 AM,2960 N SPEER BLVD,0,0,-105.02290511,39.75987817,1,113,highland,1,0,1,3134130.99983279,1702018.0001283
350445,2024142093,2024142093131300,1313,0,assault-simple,other-crimes-against-persons,3/15/2024 2:35:00 AM,,3/15/2024 2:35:00 AM,2293 S BANNOCK ST,0,0,-104.99027476,39.67505745,3,313,overland,1,0,1,3143478.00007062,1671170.99994118
