OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
320360,2023537892,2023537892240400,2404,0,theft-of-motor-vehicle,auto-theft,10/2/2023 8:00:00 PM,10/3/2023 8:00:00 AM,10/5/2023 1:49:00 PM,BLK S CLARKSON ST,0,0,-104.97809231,39.71380901,3,311,speer,1,0,1,3146825.99998836,1685305.9999799
320361,2023543244,2023543244240400,2404,0,theft-of-motor-vehicle,auto-theft,10/8/2023 12:00:00 AM,10/8/2023 2:20:00 AM,10/8/2023 3:37:00 AM,2137 GLENARM PL,0,0,-104.98404228,39.74916148,6,621,five-points,1,0,1,3145079.00006257,1698173.99998037
320362,2023543650,2023543650240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 9:30:00 PM,10/8/2023 9:00:00 AM,10/8/2023 10:11:00 AM,5100 W ALAMEDA AVE,0,0,-105.05168773,39.71097467,4,412,westwood,1,0,1,3126126.99992851,1684162.9998461
320363,2023543715,2023543715240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 10:30:00 AM,10/8/2023 10:30:00 AM,10/8/2023 2:24:00 PM,1320 GLENARM PL,0,0,-104.99347515,39.74111492,6,611,cbd,1,0,1,3142443.00008308,1695228.0000805
320364,2023540398,2023540398240400,2404,0,theft-of-motor-vehicle,auto-theft,10/5/2023 8:00:00 PM,10/6/2023 5:00:00 PM,10/6/2023 5:13:00 PM,4817 PACKING HOUSE RD,0,0,-104.97390941,39.78242466,1,112,elyria-swansea,1,0,1,3147857.99993399,1710306.99976201
320365,2023542295,2023542295240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 6:00:00 AM,10/7/2023 4:30:00 PM,10/7/2023 4:45:00 PM,2100 BLOCK LAWRENCE ST,0,0,-104.98984588,39.7536286,6,611,five-points,1,0,1,3143437.99993248,1699792.00016079
320366,2023541788,2023541788240400,2404,0,theft-of-motor-vehicle,auto-theft,10/5/2023 3:30:00 PM,10/7/2023 1:16:00 AM,10/7/2023 11:45:00 AM,24300 E 75TH AVE,0,0,-104.70442309,39.83090062,7,759,dia,1,0,1,3223441.00000468,1728516.00000587
320367,20238055834,20238055834240400,2404,0,theft-of-motor-vehicle,auto-theft,10/4/2023 1:00:00 PM,10/7/2023 1:00:00 PM,10/7/2023 1:33:00 PM,8511 PENA BLVD,0,0,-104.66727044,39.85072254,7,759,dia,1,0,1,3233809.00007686,1735830.0001417
320368,2023539391,2023539391240400,2404,0,theft-of-motor-vehicle,auto-theft,10/5/2023 8:00:00 PM,10/6/2023 8:00:00 AM,10/6/2023 12:58:00 PM,6474 E MISSISSIPPI AVE,0,0,-104.91375944,39.69647129,3,322,washington-virginia-vale,1,0,1,3164965.00000853,1679100.99972814
320369,20238055903,20238055903240400,2404,0,theft-of-motor-vehicle,auto-theft,10/2/2023 3:00:00 PM,10/7/2023 11:00:00 PM,10/7/2023 11:00:00 PM,8511 PENA BLVD,0,0,-104.66727044,39.85072254,7,759,dia,1,0,1,3233809.00007686,1735830.0001417
320370,20238055999,20238055999240400,2404,0,theft-of-motor-vehicle,auto-theft,10/4/2023 5:30:00 AM,,10/8/2023 2:32:00 PM,8400 PENA BLVD,0,0,-104.67381232,39.84929165,7,759,dia,1,0,1,3231977.00010705,1735292.00013622
320371,2023544000,2023544000240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 4:00:00 PM,10/8/2023 11:00:00 AM,10/8/2023 2:23:00 PM,3100 BLK N GAYLORD ST,0,0,-104.96061826,39.76089675,2,211,whittier,1,0,1,3151639.99982497,1702487.00009355
320372,2023541566,2023541566240400,2404,0,theft-of-motor-vehicle,auto-theft,10/6/2023 9:30:00 PM,10/7/2023 8:00:00 AM,10/7/2023 8:37:00 AM,1475 S COLORADO BLVD,0,0,-104.94186887,39.690777,3,312,cory-merrill,1,0,1,3157067.99998812,1676977.00014138
320373,2023543680,2023543680240400,2404,0,theft-of-motor-vehicle,auto-theft,10/8/2023 7:15:00 AM,,10/8/2023 10:40:00 AM,1222 S FEDERAL BLVD,0,0,-105.02456338,39.69420145,4,422,ruby-hill,1,0,1,3133790.00015701,1678092.00005303
320374,2023541481,2023541481240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 2:59:00 AM,,10/7/2023 6:45:00 AM,2671 S FEDERAL BLVD,0,0,-105.02544996,39.66872024,4,421,harvey-park,1,0,1,3133588.99997023,1668809.00019967
320375,2023541671,2023541671240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 1:00:00 AM,10/7/2023 10:00:00 AM,10/7/2023 10:01:00 AM,825 S QUEBEC ST,0,0,-104.90409842,39.70213026,3,322,washington-virginia-vale,1,0,1,3167670.00003782,1681180.00009861
320376,2023541585,2023541585240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 9:36:00 AM,,10/7/2023 9:36:00 AM,7550 W YALE AVE,0,0,-105.07973116,39.66729337,4,423,bear-valley,1,0,1,3118310.99980706,1668214.000036
320377,2023541953,2023541953240400,2404,0,theft-of-motor-vehicle,auto-theft,10/6/2023 7:00:00 PM,10/7/2023 12:15:00 AM,10/7/2023 2:02:00 PM,1400 BLK N WILLIAMS ST,0,0,-104.96564571,39.73878189,6,622,cheesman-park,1,0,1,3150274.00009916,1694423.0000251
320378,2023543449,2023543449240400,2404,0,theft-of-motor-vehicle,auto-theft,10/8/2023 6:46:00 AM,,10/8/2023 8:08:00 AM,3490 PARK AVEW,0,0,-104.99409516,39.76608017,1,112,globeville,1,0,1,3142217.99998404,1704320.9999816
320379,2023539156,2023539156240400,2404,0,theft-of-motor-vehicle,auto-theft,10/6/2023 3:19:00 AM,,10/6/2023 4:25:00 AM,4313 N ARGONNE ST,0,0,-104.76928332,39.77498,5,523,gateway-green-valley-ranch,1,0,1,3205389.00017672,1707993.00021946
320380,2023544088,2023544088240400,2404,0,theft-of-motor-vehicle,auto-theft,10/7/2023 8:00:00 PM,10/8/2023 2:00:00 PM,10/8/2023 4:26:00 PM,700 BLK N NEWTON ST,0,0,-105.03713157,39.72883947,1,122,villa-park,1,0,1,3130189.00014897,1690690.99996768
320381,2023540531,2023540531240400,2404,0,theft-of-motor-vehicle,auto-theft,10/6/2023 8:00:00 AM,10/6/2023 6:00:00 PM,10/6/2023 6:26:00 PM,2000 BLK S DEPEW ST,0,0,-105.05757142,39.67980759,4,421,harvey-park,1,0,1,3124526.99982071,1672802.0001053
